session_id,device_type,marketing_channel,website_version,session_duration_sec,converted,order_value_usd
1,Desktop,Organic Search,C,376.2,0,0.0
2,Mobile,Social Media,C,203.5,0,0.0
3,Desktop,Email,A,374.5,0,0.0
4,Desktop,Organic Search,A,228.7,1,52.66
5,Mobile,Organic Search,A,135.0,0,0.0
6,Tablet,Paid Ads,A,188.6,0,0.0
7,Desktop,Email,B,117.3,0,0.0
8,Desktop,Social Media,C,162.0,0,0.0
9,Mobile,Social Media,A,151.1,0,0.0
10,Mobile,Paid Ads,A,169.8,1,22.45
11,Mobile,Organic Search,C,344.5,0,0.0
12,Tablet,Paid Ads,B,169.9,0,0.0
13,Desktop,Organic Search,A,84.1,0,0.0
14,Desktop,Social Media,A,206.2,0,0.0
15,Mobile,Organic Search,C,236.1,0,0.0
16,Mobile,Organic Search,A,167.9,0,0.0
17,Desktop,Paid Ads,B,76.7,0,0.0
18,Mobile,Paid Ads,C,360.7,0,0.0
19,Desktop,Social Media,A,69.1,0,0.0
20,Desktop,Paid Ads,C,232.9,0,0.0
21,Desktop,Referral,A,78.7,0,0.0
22,Mobile,Email,A,265.5,1,73.43
23,Tablet,Email,A,247.0,0,0.0
24,Desktop,Social Media,C,293.8,0,0.0
25,Desktop,Social Media,A,170.9,0,0.0
26,Mobile,Social Media,A,350.6,0,0.0
27,Mobile,Paid Ads,C,228.1,0,0.0
28,Mobile,Paid Ads,A,430.4,0,0.0
29,Mobile,Social Media,C,144.5,0,0.0
30,Desktop,Organic Search,B,177.5,0,0.0
31,Desktop,Organic Search,B,304.3,0,0.0
32,Tablet,Email,C,242.8,0,0.0
33,Mobile,Organic Search,C,187.7,0,0.0
34,Mobile,Paid Ads,A,43.1,0,0.0
35,Mobile,Social Media,C,226.0,0,0.0
36,Mobile,Organic Search,C,143.8,0,0.0
37,Mobile,Email,C,137.7,0,0.0
38,Mobile,Organic Search,B,262.4,0,0.0
39,Mobile,Email,B,56.6,1,51.95
40,Desktop,Email,B,212.6,1,79.02
41,Mobile,Organic Search,A,31.0,0,0.0
42,Desktop,Organic Search,B,254.5,0,0.0
43,Desktop,Paid Ads,B,285.5,0,0.0
44,Mobile,Paid Ads,B,203.2,1,24.22
45,Desktop,Organic Search,A,151.4,0,0.0
46,Desktop,Referral,B,351.1,0,0.0
47,Mobile,Organic Search,B,346.4,0,0.0
48,Mobile,Email,B,191.3,0,0.0
49,Desktop,Organic Search,C,407.7,0,0.0
50,Mobile,Referral,C,125.1,0,0.0
51,Mobile,Organic Search,A,165.6,1,24.29
52,Mobile,Paid Ads,A,41.7,0,0.0
